"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
45574,580,"P.46,24,3","Fragment of blue glaze pot (cylindrical)","TA.OC.23-24.0001","23","","","pk. 24/56 (England) & coloured drawing[;]29. X. 23.","","https://www.flickr.com/photos/25459876@N04/18889947061","Mary Banks; Susan Magyarody; Denis Antoine"
45574,658,"","Fragment of blue glaze pot inlaid with light blue filaster.","TA.OC.23-24.0001","","","","p. 36, 24, 3.; pk. 24/56 (England) & columned [...]","","https://www.flickr.com/photos/25459876@N04/18889947061","Mary Banks; Susan Magyarody; Denis Antoine"
45574,1073,"","Fragment of blue glaze pot inlaid with light blue plaster","TA.OC.23-24.0001","23/1","","England","Size 5 cm  Scale 1/1  pk 24/56   29 x 24 P.46,24,3","","https://www.flickr.com/photos/25459876@N04/18889947061","Mary Banks; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
45575,580,"P.46.24.11","Fragment of blue variated glass","TA.OC.23-24.0002","23/2","","B.M.","not found[;]29. X. 23","","https://www.flickr.com/photos/25459876@N04/18887119475","Mary Banks; Susan Magyarody; Denis Antoine"
45575,658,"","Fragment of blue varigated glass.","TA.OC.23-24.0002","23/2","","B.M.","p. 46, 24, 11","","https://www.flickr.com/photos/25459876@N04/18887119475","Mary Banks; Susan Magyarody; Denis Antoine"
45575,1073,"","Fragment of blue variated glass","TA.OC.23-24.0002","23/2","","","Scale 1/1  Sized 3 x 2 cm  29 x 23  P46.24.11   not found","Pencil mark B.M. ","https://www.flickr.com/photos/25459876@N04/18887119475","Mary Banks; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
45576,580,"P.46.24.14","Terra-cotta mould of necklace pendant bud design","TA.OC.23-24.0003","23/3","","","29. X. 23.","","https://www.flickr.com/photos/25459876@N04/18889945851","Mary Banks; Susan Magyarody; Denis Antoine"
45576,658,"","Terracotta mould of necklace pendant, bud design.","TA.OC.23-24.0003","23/3","","","p. 46, 24, 14","","https://www.flickr.com/photos/25459876@N04/18889945851","Mary Banks; Susan Magyarody; Denis Antoine"
45576,1073,"","Terra-cotta mold of  necklage pendant but design","TA.OC.23-24.0003","23/3","","","Scale 1/1  Size 3 x 3 cm.    29 x 23   P.46.24.14","","https://www.flickr.com/photos/25459876@N04/18889945851","Mary Banks; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
45577,580,"P.46.24.14","Fragment of dark blue Bead? bunch of grapes, [...]","TA.OC.23-24.0004","23/4","","","29. X. 23.","","https://www.flickr.com/photos/25459876@N04/18700959769","Mary Banks; Susan Magyarody; Denis Antoine"
45577,658,"","Fragment of dark blue bunch of grapes, [...].","TA.OC.23-24.0004","23/4","","","P. 46, 24, 14","","https://www.flickr.com/photos/25459876@N04/18700959769","Mary Banks; Susan Magyarody; Denis Antoine"
45577,1073,"","Fragment of dark blue glazed pottery","TA.OC.23-24.0004","23/4","","","Pencil - Bead?  Bunch of grapes, ******  Scale 1/1  Size 3 x 2.5 cm    29 x 23  P46.24.14","Unable to read last word in pencil on the right, under pottery.","https://www.flickr.com/photos/25459876@N04/18700959769","Mary Banks; Susan Magyarody; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
45578,580,"P.46.24.15","Clay mould od necklace pendant Flower design","TA.OC.23-24.0005","23/5","","Cambridge Univ.","29. X. 23.","","https://www.flickr.com/photos/25459876@N04/18889944671","Mary Banks; Denis Antoine"
45578,1073,"","Clay mold of necklace pendant Flower design","TA.OC.23-24.0005","23/5","","Cambridge ","Scale 1/1  Size 3x3 cm  29 x 23   P46.24.15","Unable to read word next to Cambridge written in pencil under title.","https://www.flickr.com/photos/25459876@N04/18889944671","Mary Banks; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
45579,580,"P.46.24.12","Fragment of Terra-cotta cone of blue glaze. Grape bunch fragment. blue crown","TA.OC.23-24.0006","23/6","","","29. X. 23.","","https://www.flickr.com/photos/25459876@N04/18700958799","Mary Banks; Denis Antoine"
