"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
39103,433,"F.14.2","Agate Arrow Head","AW.OC.38-39.0029a","29","0.167; 0.68","University College","AW.38.39; 17.11.38; Natural Size","","https://www.flickr.com/photos/25459876@N04/18116748505","Joellen mcGann; Denis Antoine"
39103,580,"F.14.2.","Agate arrow head","AW.OC.38-39.0029a","29","0.167[;]0.68","University College","","","https://www.flickr.com/photos/25459876@N04/18116748505","Joellen mcGann; Denis Antoine"
39103,,"F.14.2","Agato arrow head","AW.OC.38-39.0029a","29","0.167","University College","","","https://www.flickr.com/photos/25459876@N04/18116748505","Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39104,433,"F.14 - surface","Blue Glaze Hathor Head","AW.OC.38-39.0030a","30","0.220-0.221/0.96, 0.97","Khartoum 3104","AW.3839; 17.11.38; Twice Natural Size","","https://www.flickr.com/photos/25459876@N04/17928827028","Theresa Huntsman; Joellen mcGann; Denis Antoine"
39104,580,"F.14 - surface","Blue glaze Hathor head","AW.OC.38-39.0030a","30","0.220 - 0.221[;]0.96.97","Khartoum 3104","","","https://www.flickr.com/photos/25459876@N04/17928827028","Theresa Huntsman; Joellen mcGann; Denis Antoine"
39104,1014,"F.14.surface","Blue glaze Hathor head","AW.OC.38-39.0030a","30","0.220-0.221, 0.96, 0.97","Khartoum 3104","Scale: twice natural size; date of discovery: 17.11.38","","https://www.flickr.com/photos/25459876@N04/17928827028","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39105,433,"F.14.2","Frag. Shell Hair Ring","AW.OC.38-39.0031","31","None given","None given","AW.38.39; 1.11.38; Natural Size","","https://www.flickr.com/photos/25459876@N04/17496182453","Theresa Huntsman; Joellen mcGann; Denis Antoine"
39105,580,"F.14.2.","Frag. shell hair ring","AW.OC.38-39.0031","31","","","","","https://www.flickr.com/photos/25459876@N04/17496182453","Theresa Huntsman; Joellen mcGann; Denis Antoine"
39105,1014,"F.14.2","Frag. shell hair ring","AW.OC.38-39.0031","31","","","Scale: natural size; Date: 17.11.38","","https://www.flickr.com/photos/25459876@N04/17496182453","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
