"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
39086,817,"24.2.38","Temple vedim.","AW.OC.37-38.0017","17","0.11.0.12","Louvre","","","https://www.flickr.com/photos/25459876@N04/17928522018","Abigail Crawford; JP OConnor"
39086,1010,"","Temple redin.","AW.OC.37-38.0017","17","0.11, 0.12","Louvre","","Unsure of second word in image title. Image title may in fact be provenance, but it is unclear.","https://www.flickr.com/photos/25459876@N04/17928522018","Abigail Crawford; JP OConnor"
39086,,"AW.37.38","Temple redim","AW.OC.37-38.0017","17","0.11; 0.12","Louvre","","Inscribed scarab with the name of Amun-Re","https://www.flickr.com/photos/25459876@N04/17928522018","Abigail Crawford; JP OConnor"
,,,,,,,,,,,
,,,,,,,,,,,
39087,1010,"Town Surface","Agate arrowhead","AW.OC.37-38.0016","16","0.7","Khartoum","Full size. 3275 ""Carnelian""","","https://www.flickr.com/photos/25459876@N04/18112966242","Abigail Crawford; Elina Rodríguez"
39087,1011,"Town surface","Agate arrowhead","AW.OC.37-38.0016","16","0.7.","Khartoum 3275 ""camelion""","23.2.38. Full size","","https://www.flickr.com/photos/25459876@N04/18112966242","Abigail Crawford; Elina Rodríguez"
39087,,"Town surface","Agate arrowhead","AW.OC.37-38.0016","16","0.7","Khartoum 3275","Scale: ""Full size""","The distribution note mentions: ""carnelian""","https://www.flickr.com/photos/25459876@N04/18112966242","Abigail Crawford; Elina Rodríguez"
,,,,,,,,,,,
,,,,,,,,,,,
39088,1010,"0.10.1","Calcite ""sherd""","AW.OC.37-38.0015","15","","","Natural Size.","No negative number or distribution. Reading of second word in title unclear.","https://www.flickr.com/photos/25459876@N04/17495872023","Abigail Crawford; Elina Rodríguez"
39088,1011,"D.10.1","Calcite ""stud""","AW.OC.37-38.0015","15","","","22.2.38. Natural size","","https://www.flickr.com/photos/25459876@N04/17495872023","Abigail Crawford; Elina Rodríguez"
39088,,"22.2.38","calcite ""stud""","AW.OC.37-38.0015","15","","","","","https://www.flickr.com/photos/25459876@N04/17495872023","Abigail Crawford; Elina Rodríguez"
,,,,,,,,,,,
,,,,,,,,,,,
39089,1010,"D.10.1","Sandstone disk","AW.OC.37-38.0014","14","","","Natural size.","No negative number or distribution.","https://www.flickr.com/photos/25459876@N04/18116439515","Abigail Crawford; Elina Rodríguez"
39089,1011,"D.10.1","Sandstone disk.","AW.OC.37-38.0014","14","","","22.2.38. Natural size.","","https://www.flickr.com/photos/25459876@N04/18116439515","Abigail Crawford; Elina Rodríguez"
39089,,"D.10.1","Sandstone disk","AW.OC.37-38.0014","14","","","natural size","","https://www.flickr.com/photos/25459876@N04/18116439515","Abigail Crawford; Elina Rodríguez"
,,,,,,,,,,,
,,,,,,,,,,,
39090,1010,"Temple - Eurwall","Small sandstone stila","AW.OC.37-38.0013","13","0.2","Louvre E15659","1/3 Natural Size","Reading of second word in provenance is uncertain.","https://www.flickr.com/photos/25459876@N04/18117467721","Abigail Crawford; Elina Rodríguez"
39090,1011,"Temple - East Wall","Small sandstone stela","AW.OC.37-38.0013","13","O.2.","Louvre. E15659","22.2.38. 1/3 Natural size","","https://www.flickr.com/photos/25459876@N04/18117467721","Abigail Crawford; Elina Rodríguez"
39090,,"Temple - East Wall","Small sandstone stela","AW.OC.37-38.0013","13","0.2","Louvre E 15659","1/3 Natural Size","Both registers show the dedicant worshipping divine barks.  On the upper bark, the aegises have ram heads, each topped with a uraeus.  On the lower register, the aegises are falcon-headed topped with sun disks.  The upper bark is labelled ""Amun Re Lord of the Thrones of the Two Lands.""  The lower one is surmounted by a damaged cartouche, which should be Ramesses II (see E. Van Essche, GM 158, 1997, 84-85, 87).

The desiccant is named Nebdjefau, and he holds the title ""chief of the storehouse (Hry Sna) of Amun.""","https://www.flickr.com/photos/25459876@N04/18117467721","Abigail Crawford; Elina Rodríguez"
,,,,,,,,,,,
,,,,,,,,,,,
39091,1010,"Surface of town, south","Faience scarab","AW.OC.37-38.0012","12","0.5, 0.6","Khartoum 3258","Much rubbed and worked down. Grey green. Steatite.","","https://www.flickr.com/photos/25459876@N04/17930213729","Abigail Crawford; Elina Rodríguez"
39091,1011,"Surface of town, south [local east]","Faience scarab. steatite","AW.OC.37-38.0012","12","0.5.0.6","Khartoum 3258","21.2.38. much rubbed & worked. down grey green","","https://www.flickr.com/photos/25459876@N04/17930213729","Abigail Crawford; Elina Rodríguez"
39091,,"Surface of town, south [local east]","Faience scarab.  (steatite)","AW.OC.37-38.0012","12","05.06","Khartoum 3258","much rubber & worked down. grey green","Inscribed sign has the wedjat-eye and a cartouche with the name ""Menkheperre""","https://www.flickr.com/photos/25459876@N04/17930213729","Abigail Crawford; Elina Rodríguez"
,,,,,,,,,,,
,,,,,,,,,,,
39092,1010,"West end of town","Mud imitation scarab","AW.OC.37-38.0011","11","0.05, 0.06","Brooklyn","Incised on both faces","","https://www.flickr.com/photos/25459876@N04/17928720280","Abigail Crawford; Elina Rodríguez"
39092,1011,"West end of town","Mud imitation scarab: incised on both faces","AW.OC.37-38.0011","11","05 06","Brooklyn","21.2.38","","https://www.flickr.com/photos/25459876@N04/17928720280","Abigail Crawford; Elina Rodríguez"
39092,,"West end of town","Mud imitation scarab: incised on both faces","AW.OC.37-38.0011","11","05.06","Brooklyn","","","https://www.flickr.com/photos/25459876@N04/17928720280","Abigail Crawford; Elina Rodríguez"
,,,,,,,,,,,
,,,,,,,,,,,
39093,1010,"Sanctuary","Sandstone stila","AW.OC.37-38.0010","10","0.1, 0.22","Brooklyn 38.544","Cast to Khartoum 3279. 1/5 natural size.","","https://www.flickr.com/photos/25459876@N04/18112956962","Abigail Crawford; Elina Rodríguez"
