"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48515,677,"","Sandstone fragments - Uraeus cornice ","TA.OC.36-37.009","9","","","TA 36 .37 Palace. Central W. of AXIS Rea faience inlay 23 37 A Green Faience inlay 22 52 B  ","Some of the handwriting was difficult to decipher. I made my best possible judgement.  ","https://www.flickr.com/photos/25459876@N04/18238329853","Theresa Huntsman; Michael George Adams; Denis Antoine"
48515,1014,"TA.36.37 Palace Central W. of Axis","Sandstone fragments - Uraeus cornice","TA.OC.36-37.009","9","","","","All notes annotated on image","https://www.flickr.com/photos/25459876@N04/18238329853","Theresa Huntsman; Michael George Adams; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48516,580,"Palace - Central - W. of Axis","Two fragments of faïence. Hawla for inlay - Fragment of tile.","TA.OC.36-37.010","10","0.3","","","","https://www.flickr.com/photos/25459876@N04/18672788229","Theresa Huntsman; Denis Antoine"
48516,1014,"T.A.36.37 Palace- Central W. of Axis","Two fragments of Faience","TA.OC.36-37.010","10","0.3","","","Notes annotated on image","https://www.flickr.com/photos/25459876@N04/18672788229","Theresa Huntsman; Denis Antoine"
48516,,"T.A.36.37","Two fragments of Eaience","TA.OC.36-37.010","10","","","Hawla for inlay. Fragment of tile. Both full size.","","https://www.flickr.com/photos/25459876@N04/18672788229","Theresa Huntsman; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48517,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.011","11","0.4","Cairo","","","https://www.flickr.com/photos/25459876@N04/18853801482","Theresa Huntsman; Michael George Adams; Denis Antoine"
48517,677,"","Limestone relief ","TA.OC.36-37.011","11","","Cairo ","TA. 36. 37 Palace - Central W. of Axis v 04","","https://www.flickr.com/photos/25459876@N04/18853801482","Theresa Huntsman; Michael George Adams; Denis Antoine"
48517,1014,"T.A.36-37 Palace- Central W. of Axis","Limestone Relief","TA.OC.36-37.011","11","0.4","Cairo","28","","https://www.flickr.com/photos/25459876@N04/18853801482","Theresa Huntsman; Michael George Adams; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48518,580,"Palace - Central - W. of Axis","Fragments of limestone stela","TA.OC.36-37.012","12","0.2","Cairo","","","https://www.flickr.com/photos/25459876@N04/18832686186","Theresa Huntsman; Denis Antoine"
48518,1014,"T.A.36-37 Palace- Central W. of Axis","Fragments of limestone stela","TA.OC.36-37.012","12","0.2","Cairo","","notes indicated on image.","https://www.flickr.com/photos/25459876@N04/18832686186","Theresa Huntsman; Denis Antoine"
48518,,"T.A.36-37","Fragments of limestone Stela","TA.OC.36-37.012","12","0.2","Cairo","Palace - Central. W. of Axis. Polack","","https://www.flickr.com/photos/25459876@N04/18832686186","Theresa Huntsman; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48519,433,"Palace - Central, W. of Axis","Fragment of Sandstone Relief","TA.OC.36-37.013","13","033","None given","T.A. 36-37; 16 x 11","","https://www.flickr.com/photos/25459876@N04/18672787139","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48519,580,"Palace - Central - W. of Axis","Fragment of sandstone relief","TA.OC.36-37.013","13","0.3","","","","https://www.flickr.com/photos/25459876@N04/18672787139","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48519,1014,"T.A.36-37 Palace- Central W. of Axis","FRAGMENT of sandstone relief","TA.OC.36-37.013","13","0.3 [0.33?]","","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18672787139","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48520,433,"Palace - Central, W. of Axis","Fragment of Limestone Relief","TA.OC.36-37.014","14","0.33","None given","TA.36-37; 8 x 21","","https://www.flickr.com/photos/25459876@N04/18238327803","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48520,580,"","","TA.OC.36-37.014","","","","","","https://www.flickr.com/photos/25459876@N04/18238327803","Theresa Huntsman; Joellen mcGann; Denis Antoine"
