"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
39411,580,"Top of west wall of E.14.22. (north end)","Blue frit scarab","AW.OC.47-48.0351","351","0280-81","Birmingham","3. 12. 47.[;]27 - 12/13/14","","https://www.flickr.com/photos/25459876@N04/17494512954","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
39411,1014,"Top of west wall of E.14.22 (north end)","Blue frit scarab","AW.OC.47-48.0351","351","Neg. = 0280-81","Birmingham","Scale: twice natural; note: 27-12/13/14; date: 3.12.47","","https://www.flickr.com/photos/25459876@N04/17494512954","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
39411,1022,"13.14.22","Blue frit scarab","AW.OC.47-48.0351","351","0280-81","Birmingham","Scale: Twice Natural","","https://www.flickr.com/photos/25459876@N04/17494512954","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39412,580,"D.14: NW corner of street parallel with east wall (upper level)","Pottery disk (red pottery)","AW.OC.47-48.0352","352","","","FILM 32 - 5.6.","","https://www.flickr.com/photos/25459876@N04/18113654732","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
39412,1014,"D.14: NW corner of unit? parallel with east wall (upper level)","Pottery disk ","AW.OC.47-48.0352","352","Neg. = 32-5.6.","","scale: full size; date: 3.12.47; note: (not pottery)","","https://www.flickr.com/photos/25459876@N04/18113654732","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
39412,1022,"D.14","Pottery disk.","AW.OC.47-48.0352","352","32-5.6","","Scale: Full Size","","https://www.flickr.com/photos/25459876@N04/18113654732","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39413,580,"D.14: NE corner of street parallel with east wall of town (upper end)","Clay disk: flat under surface, fibre marked; ? pot lid; half of a similar piece from same place","AW.OC.47-48.0353","353","","Birmingham","3. 12. 47.[;]FILM 31 - 32.","","https://www.flickr.com/photos/25459876@N04/18118159211","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
39413,1014,"D.14: NE corner of unit? parallel with east wall of ? (upper level)","Clay disk","AW.OC.47-48.0353","353","Neg. = FILM 31-32","Birmingham","scale: full size; date: 3.12.47; note: flat under surface, fibre? marked; not ?, half of a similar piece from ?","","https://www.flickr.com/photos/25459876@N04/18118159211","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
39413,1022,"D.14","Clay disk.","AW.OC.47-48.0353","353","31-32","Birmingham","","","https://www.flickr.com/photos/25459876@N04/18118159211","Theresa Huntsman; Silvia Poldaru; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39414,580,"D.14, NE corner of street parallel wtih east wall of town (upper level)","2 Clay roundels","AW.OC.47-48.0354","354","0.306","","3. 12. 47.[;]FILM 31-28.29","","https://www.flickr.com/photos/25459876@N04/18116902955","Theresa Huntsman; John Wall; Denis Antoine"
39414,1014,"D.14: NE corner of street parallel with east wall of town (upper level)","2 Clay roundels","AW.OC.47-48.0354","354","Neg. = 0306","","scale: full size; FILM 31-28.29; date: 3.12.47","","https://www.flickr.com/photos/25459876@N04/18116902955","Theresa Huntsman; John Wall; Denis Antoine"
39414,1020,"D.14 N ? corner of street parallel with east wall of town (upper level)","2 clay roundels","AW.OC.47-48.0354","354","0306","","3,12,47  FILM 31-28.29  Full Size","","https://www.flickr.com/photos/25459876@N04/18116902955","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39415,580,"E.13.X (surface)","Chalcedony Arrow-head","AW.OC.47-48.0355","355","0282","Birmingham","3. XII. 47.[;]FILM 30-24.25.","","https://www.flickr.com/photos/25459876@N04/18090642786","Theresa Huntsman; John Wall; Denis Antoine"
39415,1014,"E.13.X (surface)","Chalcedony Arrowhead","AW.OC.47-48.0355","355","Neg. = 0282","Birmingham","scale: twice natural; FILM 30-24.25; date: 3.XII.47","","https://www.flickr.com/photos/25459876@N04/18090642786","Theresa Huntsman; John Wall; Denis Antoine"
39415,1020,"E.13.X (Surface)","Chalcedony arrowhead","AW.OC.47-48.0355","355","0282","Birmingham","3,XII,47   FILM 30-24.25  TWICE NATURAL","","https://www.flickr.com/photos/25459876@N04/18090642786","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39416,580,"F.11.X (surface)","Chalcedony Arrow-head","AW.OC.47-48.0356","356","0282","","3. XII. 47.[;]FILM 30-24.25.","","https://www.flickr.com/photos/25459876@N04/17929412660","Theresa Huntsman; John Wall; Denis Antoine"
39416,1014,"F.11.X (Surface)","Chalcedony Arrow-head","AW.OC.47-48.0356","356","Neg. = 0282","","scale: twice natural; FILM 30-24.25; date: 3.XII.47","","https://www.flickr.com/photos/25459876@N04/17929412660","Theresa Huntsman; John Wall; Denis Antoine"
39416,1020,"F.11.X (Surface)","Chalcedony Arrowhead","AW.OC.47-48.0356","356","0282","","3,XII,47  FILM 30-24.25  TWICE NATURAL","","https://www.flickr.com/photos/25459876@N04/17929412660","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39417,580,"Surface W. of town area","Chalcedony Arrow head","AW.OC.47-48.0357","357","0282","","3. XII. 47.[;]FILM 30-24.25.","","https://www.flickr.com/photos/25459876@N04/18113652442","Theresa Huntsman; John Wall; Denis Antoine"
39417,1014,"Surface W. of town area","Chalcedony Arrowhead","AW.OC.47-48.0357","357","Neg. = 0282","","scale: twice natural; FILM 30-24.25.; date: 3.XII.47","","https://www.flickr.com/photos/25459876@N04/18113652442","Theresa Huntsman; John Wall; Denis Antoine"
39417,1020,"Surface W. of town area","Chalcedony Arrowhead","AW.OC.47-48.0357","357","0282","","3,XII,47 FILM 30-24-25 TWICE NATURAL","","https://www.flickr.com/photos/25459876@N04/18113652442","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39418,580,"Surface W. of town area","Chalcedony Arrow head","AW.OC.47-48.0358","358","0282","","3. XII. 47.[;]FILM 30-24.25.","","https://www.flickr.com/photos/25459876@N04/18117124725","Theresa Huntsman; John Wall; Denis Antoine"
39418,1014,"Surface W. of town area","Chalcedony Arrow head","AW.OC.47-48.0358","358","Neg. = 0282","","scale: twice natural; FILM 30-24.25.; date: 3.XII.47","","https://www.flickr.com/photos/25459876@N04/18117124725","Theresa Huntsman; John Wall; Denis Antoine"
39418,1020,"Surface W. of town area","Chalcedony Arrowhead","AW.OC.47-48.0358","358","0282","","3,XII,47  FILM 30-24.25 TWICE NATURAL","","https://www.flickr.com/photos/25459876@N04/18117124725","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39419,580,"E.13.X (surface)","Chalcedony Arrow-head","AW.OC.47-48.0359","359","0282","Birmingham","4. XII. 47.[;]FILM 30-24.25.","","https://www.flickr.com/photos/25459876@N04/17929411030","Theresa Huntsman; John Wall; Denis Antoine"
39419,1014,"E.13.X (Surface)","Chalcedony Arrow-head","AW.OC.47-48.0359","359","Neg. = 0282","Birmingham","scale: twice natural; FILM 30-24.25.; date: 4.XII.47","","https://www.flickr.com/photos/25459876@N04/17929411030","Theresa Huntsman; John Wall; Denis Antoine"
39419,1020,"E.13,X (Surface)","Chalcedony Arrowhead","AW.OC.47-48.0359","359","0282","Birmongham","4,XII,47 FILM 30-24.25 TWICE NATURAL","","https://www.flickr.com/photos/25459876@N04/17929411030","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39420,580,"D.14.7.","Sandstone Stela","AW.OC.47-48.0360","360","","BM 68675","R.F. 1:4[;]6. XII. 47.","","https://www.flickr.com/photos/25459876@N04/17930904479","Theresa Huntsman; John Wall; Denis Antoine"
39420,1014,"D.14.7","Sandstone Stela","AW.OC.47-48.0360","360","","BM 68675","scale: RF 1:4, 1/4 natural; date: 6.XII.47","","https://www.flickr.com/photos/25459876@N04/17930904479","Theresa Huntsman; John Wall; Denis Antoine"
39420,1020,"D.14.7","Sandstone Stela","AW.OC.47-48.0360","360","","British Museum BM 68675","6,XII,47 RF 1:4 1/4 Natural","","https://www.flickr.com/photos/25459876@N04/17930904479","Theresa Huntsman; John Wall; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39421,580,"D.14.6.","Kohl stick (Hermatite?)","AW.OC.47-48.0361","361","","label in Birmingham","7. XII. 47.[;]FILM 29-8.9.10.","","https://www.flickr.com/photos/25459876@N04/18117123055","Theresa Huntsman; Maria Christakou; Denis Antoine"
39421,652,"","KW stick","AW.OC.47-48.0361","361","","","Full size,  FILM 29-8.9.10,  361,  AW.47/8, label in Birmugh","","https://www.flickr.com/photos/25459876@N04/18117123055","Theresa Huntsman; Maria Christakou; Denis Antoine"
39421,1014,"D.14.6","Kohl stick","AW.OC.47-48.0361","361","","label in Birmingham","scale: Full size; FILM 29-8.9.10; date: 7.XII.47; note: (Hematite?)","","https://www.flickr.com/photos/25459876@N04/18117123055","Theresa Huntsman; Maria Christakou; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39422,580,"D.14.7.","Scarab (Faience)","AW.OC.47-48.0362","362","278-79","Birmingham","7. XII. 47.[;]27-3/4","","https://www.flickr.com/photos/25459876@N04/17494507754","Theresa Huntsman; Maria Christakou; Denis Antoine"
39422,652,"D.14.7","Scarab [ fai      ]","AW.OC.47-48.0362","362","","Birmingham","AW47/8   7.XII.47   twice natural   27-3/4   278-9","","https://www.flickr.com/photos/25459876@N04/17494507754","Theresa Huntsman; Maria Christakou; Denis Antoine"
39422,1014,"D.14.7","Scarab (Faience)","AW.OC.47-48.0362","362","Neg. = 0278-79","Birmingham","scale: twice natural; date: 7.XII.47; note: 27-3/4","","https://www.flickr.com/photos/25459876@N04/17494507754","Theresa Huntsman; Maria Christakou; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39423,580,"D.14.1.","(Bone)","AW.OC.47-48.0363","363","","Birmingham","27-26/27","","https://www.flickr.com/photos/25459876@N04/17929204538","Theresa Huntsman; Maria Christakou; Denis Antoine"
39423,652,"D.14.1","Bone","AW.OC.47-48.0363","363","","Birmingham","AW47/8   7.XII.47   27-26/27  Full Size","","https://www.flickr.com/photos/25459876@N04/17929204538","Theresa Huntsman; Maria Christakou; Denis Antoine"
39423,1014,"D.14.1","(Bone)","AW.OC.47-48.0363","363","","Birmingham","scale: full size; date: 7.XII.47; note: 27-26/27","","https://www.flickr.com/photos/25459876@N04/17929204538","Theresa Huntsman; Maria Christakou; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39424,580,"Mound (D.15.) Surface","Scarab (Faience)","AW.OC.47-48.0364","364","0 278-79","Birmingham","7. XII. 47[;]N° 27-1/2","","https://www.flickr.com/photos/25459876@N04/18090417356","Theresa Huntsman; Maria Christakou; Denis Antoine"
39424,652,"Mo  [  d]  Surface","Scarab [failure]","AW.OC.47-48.0364","364","","Birmingham","AW47/8  7.xii.47   0278-79 No 27-1/2  Twice natural","","https://www.flickr.com/photos/25459876@N04/18090417356","Theresa Huntsman; Maria Christakou; Denis Antoine"
39424,1014,"Mound (D.15.) Surface","Scarab (Faience)","AW.OC.47-48.0364","364","Neg. = 0.278-79","Birmingham","scale: twice natural; date: 7.XII.47; note: No 27-1/2","","https://www.flickr.com/photos/25459876@N04/18090417356","Theresa Huntsman; Maria Christakou; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
39425,580,"D.14.4.","Scarab (Faience)","AW.OC.47-48.0365","365","0 278-79","Birmingham","8. XII. 47.[;]27-5/6","","https://www.flickr.com/photos/25459876@N04/18113648842","Theresa Huntsman; Maria Christakou; Denis Antoine"
39425,652,"D.14.4","Scarab (facence)","AW.OC.47-48.0365","365","0278 -79","Birmingham","AW/47/8   8.XII.47   27/5/6  Twice natural","","https://www.flickr.com/photos/25459876@N04/18113648842","Theresa Huntsman; Maria Christakou; Denis Antoine"
39425,1014,"D.14.4","Scarab (Faience)","AW.OC.47-48.0365","365","Neg. = 0278-79","Birmingham","scale: twice natural; date: 8.XII.47; note: 27-5/6","","https://www.flickr.com/photos/25459876@N04/18113648842","Theresa Huntsman; Maria Christakou; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
