"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
41467,226,"23.11.35  North West Building S. Passage","Limestone trial piece of Alabaster","TA.OC.35-36.001","1","0.5","","","","https://www.flickr.com/photos/25459876@N04/18671011990","Elaine Dale; Maria Christakou; Susan Magyarody"
41467,652,"North West Building S Passay","Limestone trial piece of alabaster","TA.OC.35-36.001","1","05","Brooklyn","TA 35-36 1","","https://www.flickr.com/photos/25459876@N04/18671011990","Elaine Dale; Maria Christakou; Susan Magyarody"
41467,658,"North West Building, S. Passage","Limestone trial piece of Akhenaten.","TA.OC.35-36.001","1","0.5","Brooklyn","","No provenance number noted.","https://www.flickr.com/photos/25459876@N04/18671011990","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41468,226,"23.11.35","North West Building N. Side","TA.OC.35-36.002","Fragment of Black Topped Predynastic Pottery","0.152","Oxford","actual size","","https://www.flickr.com/photos/25459876@N04/18853547792","Elaine Dale; Maria Christakou; Susan Magyarody"
41468,652,"North West Building N Side","Fragment of black topped Pre[    stic] potter","TA.OC.35-36.002","2","0152","Oxford","TA 35-36 2","","https://www.flickr.com/photos/25459876@N04/18853547792","Elaine Dale; Maria Christakou; Susan Magyarody"
41468,658,"North West Building, N side.","Fragment of black topped pre-dynastic pottery.","TA.OC.35-36.002","2","0.152","Oxford","","","https://www.flickr.com/photos/25459876@N04/18853547792","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41469,226,"North West Building South passage","Limestone trial piece of Alabaster, incomplete","TA.OC.35-36.003","3","0.10","","actual size","","https://www.flickr.com/photos/25459876@N04/18671010470","Elaine Dale; Maria Christakou; Susan Magyarody"
41469,652,"North West Building South passage","Limestone trial piece of [        ]  [          ]","TA.OC.35-36.003","3","010","","TA 35-36 actual size","","https://www.flickr.com/photos/25459876@N04/18671010470","Elaine Dale; Maria Christakou; Susan Magyarody"
41469,658,"North West Building, South passage","Limestone trial piece of Akhenaten, incomplete.","TA.OC.35-36.003","3","0.10","","","","https://www.flickr.com/photos/25459876@N04/18671010470","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41470,226,"24.11.35 North West building, N. end","Frag. light green inlay, frag. of an ","TA.OC.35-36.004","4","0.19","Cairo","","next to the image title: ""Frag. light green inlay, frag. of an"" there is a small illustration that looks like cable or braiding","https://www.flickr.com/photos/25459876@N04/18236125174","Elaine Dale; Maria Christakou; Susan Magyarody"
41470,652,"North West building N ends","Frag light green inlay frag of an [  ]","TA.OC.35-36.004","4","019","Cairo","TA 35-36 24.11.35","","https://www.flickr.com/photos/25459876@N04/18236125174","Elaine Dale; Maria Christakou; Susan Magyarody"
41470,658,"North West Building, N end.","[...] light green inlay, frag. of an [...]","TA.OC.35-36.004","4","0.19","Cairo","","","https://www.flickr.com/photos/25459876@N04/18236125174","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41471,226,"25.11.35 North west building, south passage","Object of a certain nature alabaster","TA.OC.35-36.005a","5","0.27","","half size , turn over","","https://www.flickr.com/photos/25459876@N04/18670961278","Elaine Dale; Maria Christakou; Susan Magyarody"
41471,652,"NW Building , south passage","object of a certain nature alabaster","TA.OC.35-36.005a","5","027","","TA 35-36 24.11.35  half size","","https://www.flickr.com/photos/25459876@N04/18670961278","Elaine Dale; Maria Christakou; Susan Magyarody"
41471,658,"Northwest building, south passage.","Object of a certain [...] alabaster.","TA.OC.35-36.005a","5","0.27","","","","https://www.flickr.com/photos/25459876@N04/18670961278","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41472,226,"","profile from right","TA.OC.35-36.005b","","","","","possibly reverse of card 41471?","https://www.flickr.com/photos/25459876@N04/18853545442","Elaine Dale; Maria Christakou; Susan Magyarody"
41472,652,"","","TA.OC.35-36.005b","","","","","","https://www.flickr.com/photos/25459876@N04/18853545442","Elaine Dale; Maria Christakou; Susan Magyarody"
41472,658,"","","TA.OC.35-36.005b","","","","","","https://www.flickr.com/photos/25459876@N04/18853545442","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41473,226,"25.11.35 North west building, south passage","Block of limestone roughly incised with figure of bear","TA.OC.35-36.006","6","0.8","","","","https://www.flickr.com/photos/25459876@N04/18236123504","Elaine Dale; Maria Christakou; Susan Magyarody"
41473,652,"NW building south passage","Block of limestone [    ly] incised with figure of Bes","TA.OC.35-36.006","6","09","","TA 35-36 25.11.35","","https://www.flickr.com/photos/25459876@N04/18236123504","Elaine Dale; Maria Christakou; Susan Magyarody"
41473,658,"Northwest building, south passage.","Block of limestone roughly incised with figure of Bes.","TA.OC.35-36.006","6","0.8","","","No provenance number noted.","https://www.flickr.com/photos/25459876@N04/18236123504","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41474,226,"25.11.35 North West Building, South Passage","Block of Alabaster Roughly Incised","TA.OC.35-36.007","7","0.27","","","","https://www.flickr.com/photos/25459876@N04/18236121774","Elaine Dale; Maria Christakou; Susan Magyarody"
41474,652,"NW Building , south passage","Block of alabaster Roughly incised","TA.OC.35-36.007","7","027","","TA 35-36 25.11.35","","https://www.flickr.com/photos/25459876@N04/18236121774","Elaine Dale; Maria Christakou; Susan Magyarody"
41474,658,"Northwest building, south passage.","Block of alabaster, roughly incised.","TA.OC.35-36.007","7","0.27","","","","https://www.flickr.com/photos/25459876@N04/18236121774","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41475,226,"25.11.35 North West Building, South Passage","Part of limestone stool","TA.OC.35-36.008","8","","","","","https://www.flickr.com/photos/25459876@N04/18832437546","Elaine Dale; Maria Christakou; Susan Magyarody"
41475,652,"NW Building , South Passage","Part of limestone sto[  ]","TA.OC.35-36.008","8","","","TA 35-36 25.11.35","","https://www.flickr.com/photos/25459876@N04/18832437546","Elaine Dale; Maria Christakou; Susan Magyarody"
41475,658,"Northwest building, south passage.","Part of limestone stool.","TA.OC.35-36.008","8","","","","No provenance number noted.","https://www.flickr.com/photos/25459876@N04/18832437546","Elaine Dale; Maria Christakou; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
41476,226,"25.11.35 North West Building, South passage","Fragment of quartzite incised with owl head","TA.OC.35-36.009","9","0.14","","","","https://www.flickr.com/photos/25459876@N04/18670957228","Elaine Dale; Maria Christakou; Susan Magyarody"
41476,652,"NW Building , South Passage","Fragment of [       ] incised with [  ] head","TA.OC.35-36.009","9","014","","TA 35-36 25.11.35","","https://www.flickr.com/photos/25459876@N04/18670957228","Elaine Dale; Maria Christakou; Susan Magyarody"
