"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48708,433,"Main Chapel","Fragment of limestone","TA.SC.26-27.044","26/7/44","None given","None given","T.A./S; 13.5 x 6.5","","https://www.flickr.com/photos/25459876@N04/18859542175","Michael George Adams; Joellen mcGann; Denis Antoine"
48708,580,"Main Chapel","Fragment of limestone.","TA.SC.26-27.044","26-7/44","","","","","https://www.flickr.com/photos/25459876@N04/18859542175","Michael George Adams; Joellen mcGann; Denis Antoine"
48708,677,"","Fragment of limestone","TA.SC.26-27.044","26/7/ 44","","","T.A./ S main chapel 13.5 x 6.5  ","","https://www.flickr.com/photos/25459876@N04/18859542175","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48709,433,"Main Chapel","Fragment of limestone, sculptured","TA.SC.26-27.045","26/7/45","None given","None given","T.A./S; 16 x 3.5","","https://www.flickr.com/photos/25459876@N04/18671808448","Michael George Adams; Joellen mcGann; Denis Antoine"
48709,580,"Main Chapel","Fragment of limestone relief, sculptured.","TA.SC.26-27.045","26-7/45","","","","","https://www.flickr.com/photos/25459876@N04/18671808448","Michael George Adams; Joellen mcGann; Denis Antoine"
48709,677,"","Fragment of limestone sculptured ","TA.SC.26-27.045","26/ 7/ 45  ","","","T.A/ S main chapel 16 x 3.5","","https://www.flickr.com/photos/25459876@N04/18671808448","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48710,433,"Main Chapel","2 Fragments of limestone, sculptured","TA.SC.26-27.046","26-7/46 (a + b)","None given","None given","T.A./S; a: 24 x 18; b: 14 x 14","","https://www.flickr.com/photos/25459876@N04/18859541015","JP OConnor; Joellen mcGann; Denis Antoine"
48710,580,"Main Chapel","2 Fragments of limestone, sculptured.","TA.SC.26-27.046","26-7/46 (a & b)","","","","","https://www.flickr.com/photos/25459876@N04/18859541015","JP OConnor; Joellen mcGann; Denis Antoine"
48710,817,"","2 Fragments of limestone, sculptured.","TA.SC.26-27.046","TA S 26-7 46 (a & b)","","","Main chapel","a 24 x 18
b. 14 x 14","https://www.flickr.com/photos/25459876@N04/18859541015","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48711,433,"Main Chapel","Fragment of limestone inscribed","TA.SC.26-27.047","26/7/47","None given","None given","T.A./S; 11 x 10","","https://www.flickr.com/photos/25459876@N04/18671807438","JP OConnor; Joellen mcGann; Denis Antoine"
48711,580,"Main Chapel","Fragment of limestone, inscribed.","TA.SC.26-27.047","26-7/47","","","","","https://www.flickr.com/photos/25459876@N04/18671807438","JP OConnor; Joellen mcGann; Denis Antoine"
48711,817,"","fragment of limestone inscribed","TA.SC.26-27.047","TA S 26/7 47","","","Main Chapel","11 x 10","https://www.flickr.com/photos/25459876@N04/18671807438","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48712,433,"Main Chapel","Fragment of limestone, sculptured","TA.SC.26-27.048","26/7/48","None given","None given","T.A./S; 10 x 7","","https://www.flickr.com/photos/25459876@N04/18236973264","JP OConnor; Joellen mcGann; Denis Antoine"
48712,580,"Main Chapel","Fragment of limestone, sculptured.","TA.SC.26-27.048","26-7/48","","","","","https://www.flickr.com/photos/25459876@N04/18236973264","JP OConnor; Joellen mcGann; Denis Antoine"
48712,817,"","Fragment of Limstone, sculptured","TA.SC.26-27.048","TA S 26/7 48","","","Main Chapel","10x7.","https://www.flickr.com/photos/25459876@N04/18236973264","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48713,433,"Main Chapel","Fragment of limestone, sculptured","TA.SC.26-27.049","26/7/49","None given","None given","T.A./S; 9 x 4","","https://www.flickr.com/photos/25459876@N04/18236972854","JP OConnor; Joellen mcGann; Denis Antoine"
48713,580,"Main Chapel","Fragment of limestone, sculptured.","TA.SC.26-27.049","26-7/49","","","","","https://www.flickr.com/photos/25459876@N04/18236972854","JP OConnor; Joellen mcGann; Denis Antoine"
48713,817,"","Fragment of limestone, sculptured","TA.SC.26-27.049","TA S 26/7 49","","","Main Chapel","9 x 4","https://www.flickr.com/photos/25459876@N04/18236972854","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48714,433,"Main Chapel","Fragment of limestone, sculptured","TA.SC.26-27.050","26/7/50","None given","None given","T.A./S; 9 x 5.5","","https://www.flickr.com/photos/25459876@N04/18671805778","JP OConnor; Joellen mcGann; Denis Antoine"
48714,580,"Main Chapel","Fragment of limestone, sculptured.","TA.SC.26-27.050","26-7/50","","","","","https://www.flickr.com/photos/25459876@N04/18671805778","JP OConnor; Joellen mcGann; Denis Antoine"
48714,817,"","fragment of limestone sculptured","TA.SC.26-27.050","TA S 26/7 50","","","Main Chapel","9x5.5","https://www.flickr.com/photos/25459876@N04/18671805778","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
