"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
42307,226,"OMDA'S HOUSE S.39.1","Clay torso","TA.OC.33-34.001","33.34","0.31","Cairo","FRONT VIEW FULL SIZE , ""Tummy"" with an arrow pointing at the abdomen area","","https://www.flickr.com/photos/25459876@N04/18513365639","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
42307,580,"Omda's house (S.39.1)","Clay Torso","TA.OC.33-34.001","1","0.31","Cairo","","","https://www.flickr.com/photos/25459876@N04/18513365639","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
42307,975,"Omda's house. (S.39.1)","Clay torso","TA.OC.33-34.001","001","0.31","Cairo","Front view, full size, tummy","","https://www.flickr.com/photos/25459876@N04/18513365639","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
42308,226,"S.39.1 ","Fragment of bone","TA.OC.33-34.002","2","","","Full size hollow, OMDA'S HOUSE","","https://www.flickr.com/photos/25459876@N04/18694778122","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
42308,580,"Omda's House (S.39.1)","Fragment of bone","TA.OC.33-34.002","2","","","","","https://www.flickr.com/photos/25459876@N04/18694778122","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
42308,975,"Omda's house (S.39.1)","Fragment of bone","TA.OC.33-34.002","002","","","Full size, hollow","","https://www.flickr.com/photos/25459876@N04/18694778122","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
42309,226,"S.39.1","Fragment of gilded wood","TA.OC.33-34.003","3","","","Full size","","https://www.flickr.com/photos/25459876@N04/18699580875","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
42309,580,"Omda's House (S.39.1)","Fragment of gilded wood","TA.OC.33-34.003","3","","","","","https://www.flickr.com/photos/25459876@N04/18699580875","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
42309,975,"Omda's house (S.39.1)","Fragment of gilded wood","TA.OC.33-34.003","003","","","full size, section","","https://www.flickr.com/photos/25459876@N04/18699580875","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
42310,226,"Great Temple (Sanctuary)","Broken head of Sphinx","TA.OC.33-34.004","4","0.1","","32 cm","","https://www.flickr.com/photos/25459876@N04/18701912361","Geraldine Dorel Ashby; Elaine Dale; Denis Antoine"
