"CatalogueNumber","North","East","L","Depth (low)","FS No.","S No.","Description"
"4651","304","306","6","55.2",,"6","W.S. Debitage"
"4652","304","306","7","55.3",,"7","W.S. Debitage"
"4653","304","306","8","55.4",,"8","W.S. Debitage"
"4654","304","306","9","55.5",,"9","W.S. Debitage"
"4655","305","299","2","53.9",,"1","W.S. Debitage"
"4656","305","299","3","54.0",,"2","W.S. Debitage"
"4657","305","299","4","54.1",,"3","W.S. Debitage"
"4658","305","299","5","54.2",,"4","W.S. Debitage"
"4659","305","299","6","54.3",,"5","W.S. Debitage"
"4660","305","299","7","54.4",,"6","W.S. Debitage"
"4661","305","299","8","54.5",,"7","W.S. Debitage"
"4662","305","299","9","54.67",,"8","W.S. Debitage"
"4663","305","300","3","54.1",,"2","W.S. Debitage"
"4664","305","300","4","54.2",,"4","W.S. Debitage"
"4665","305","300","5","54.3",,"5","W.S. Debitage"
"4666","305","300","6","54.4",,"8","W.S. Debitage"
"4667","305","300","7","54.5",,"9","W.S. Debitage"
"4668","305","300","8","4.6",,"10","W.S. Debitage"
"4669","305","300","9","54.7",,"11","W.S. Debitage"
"4670","305","301","3","54.3",,"3","W.S. Debitage"
"4671","305","301","4","54.5",,"4","W.S. Debitage"
"4671","305","301","5","54.5",,"5","W.S. Debitage"
"4673","305","301","6","54.6",,"7","W.S. Debitage"
"4674","305","301","7","54.7",,"8","W.S. Debitage"
"4675","305","302","4","54.4",,"2","W.S. Debitage"
"4676","305","302","5","54.5",,"3","W.S. Debitage"
"4677","305","302","6","54.6",,"4","W.S. Debitage"
"4678","305","302","7","54.7",,"5","W.S. Debitage"
"4679","305","303","3","54.5",,"4","W.S. Debitage"
"4680","305","303","4","54.6",,"5","W.S. Debitage"
"4681","305","303","5","54.7",,"6","W.S. Debitage"
"4682","305","303","6","55.15",,"8","W.S. Debitage"
"4683","305","304","4","54.6",,"3","W.S. Debitage"
"4684","305","304","5","54.7",,"4","W.S. Debitage"
"4685","305","304","6","54.8",,"5","W.S. Debitage"
"4685","305","304","7","54.9",,"6","W.S. Debitage"
"4687","305","304","8","55.25",,"7","W.S. Debitage"
"4688","305","305","2","54.6",,"1","W.S. Debitage"
"4689","305","305","3","54.7",,"2","W.S. Debitage"
"4690","305","305","4","54.8",,"5","W.S. Debitage"
"4691","305","305","5","54.9",,"6","W.S. Debitage"
"4692","305","305","6","55.0",,"7","W.S. Debitage"
"4693","305","305","7","55.1",,"8","W.S. Debitage"
"4694","305","305","8","55.2",,"9","W.S. Debitage"
"4695","305","305","9","55.3",,"10","W.S. Debitage"
"4696","305","306","2","54.7",,"1","W.S. Debitage"
"4697","305","306","3","54.8",,"3","W.S. Debitage"
"4698","305","306","5","55.0",,"6","W.S. Debitage"
"4699","305","306","6","55.1",,"8","W.S. Debitage"
"4700","305","306","7","55.2",,"10","W.S. Debitage"
"4701","305","306","8","55.3","12",,"W.S. Debitage"
"4701","305","306","8","55.3",,,"W.S. Debitage"
"4701","305","306","8","55.3","","12","W.S. Debitage"
"4702","305","306","9","55.4","13",,"W.S. Debitage"
"4702","305","306","9","55.4",,,"W.S. Debitage"
"4702","305","306","9","55.4","","13","W.S. Debitage"
"4703","",,"","",,,"Pottery"
"4703","-","-","-","-",,"-","POTTERY"
"4703","","","","","","","Pottery"
"4704","302","304","1","54.6",,,"W.S. Debitage"
"4704","302","304","1","54.6","2",,"POTTERY"
"4704","302","304","1","54.6","2","","Pottery"
"4705","302","304","6","54.8",,,"W.S. Debitage"
"4705","302","304","6","54.8","69",,"POTTERY"
"4705","302","304","6","54.8","69","","Pottery"
"4706","303","305","4","55.0",,,"W.S. Debitage"
"4706","302","305","4","55.0","8",,"POTTERY"
"4706","302","305","4","55","8","","Pottery"
"4707","303","299","7","54.8",,,"W.S. Debitage"
"4707","303","299","7","54.8","25",,"POTTERY"
"4707","303","299","7","54.8","25","","Pottery"
"4708","303","300","5","54.6",,,"W.S. Debitage"
"4708","303","300","5","54.6","11",,"POTTERY"
"4708","303","300","5","54.6","11","","Pottery"
"4709","303","301","1","54.47",,,"W.S. Debitage"
"4709","303","301","1","54.47","3",,"POTTERY"
"4709","303","301","1","54.47","3","","Pottery"
"4710","303.41","302.28","7","54.62",,,"W.S. Debitage"
"4710","303.41","302.28","7","54.62","15",,"POTTERY"
"4710","303.41","302.28","7","54.62","15","","Pottery"
"4711","303","305","2","54.9",,,"W.S. Debitage"
"4711","303","305","2","54.9","2",,"POTTERY"
"4711","303","305","2","54.9","2","","Pottery"
"4712","303","306","5","55.0",,,"W.S. Debitage"
"4712","303","306","5","55.0","15",,"POTTERY"
"4712","303","306","5","55","15","","Pottery"
"4713","304","299","1","54.2",,,"W.S. Debitage"
"4713","304","299","1","54.2","1",,"POTTERY"
"4713","304","299","1","54.2","1","","Pottery"
"4714","304","299","6","54.5",,,"W.S. Debitage"
"4714","304","299","6","54.5","20",,"POTTERY"
"4714","304","299","6","54.5","20","","Pottery"
"4715","304","300","1","54.3",,,"W.S. Debitage"
"4715","304","300","1","54.3","4",,"POTTERY"
"4715","304","300","1","54.3","4","","Pottery"
"4716","304","300","1","54.3",,,"W.S. Debitage"
"4716","304","300","1","54.3","10",,"POTTERY"
"4716","304","300","1","54.3","10","","Pottery"
"4717","VOID","","","",,,"after 4820"
"4717","304","300","6","54.5","21",,"POTTERY"
"4717","VOID","","","","","","revised after 4820"
"4717","304","299","1","54.2","1.00","","Debitage specimen that tested positive for B.R."
"4717","304","299","1","54.2","1","","sherd"
"4718","304","301","1","54.4",,,"W.S. Debitage"
"4718","304","301","1","54.4","1",,"POTTERY"
"4718","304","301","1","54.4","1","","Pottery"
"4719","304","301","1","54.4",,,"W.S. Debitage"
"4719","304","301","1","54.4","5",,"POTTERY"
"4719","304","301","1","54.4","5","","Pottery"
"4720","304","301","9","54.9",,,"W.S. Debitage"
"4720","304","301","9","54.9","35",,"POTTERY"
"4720","304","301","9","54.9","35","","Pottery"
"4721","304","302","1","54.5",,,"W.S. Debitage"
"4721","304","302","1","54.5","3",,"POTTERY"
"4721","304","302","1","54.5","3","","Pottery"
"4722","304","302","9","55.0",,,"W.S. Debitage"
"4722","304","302","9","55.0","25",,"POTTERY"
"4722","304","302","9","55","25","","Pottery"
"4723","304","303","4","54.7",,,"W.S. Debitage"
"4723","304","303","4","54.7","10",,"POTTERY"
"4723","304","303","4","54.7","10","","Pottery"
"4724","304","304","1","54.6",,,"W.S. Debitage"
"4724","304","304","1","54.6","8",,"POTTERY"
"4724","304","304","1","54.6","8","","Pottery"
"4725","304","306","3","54.9",,,"W.S. Debitage"
"4725","304","306","3","54.9","5",,"POTTERY"
"4725","304","306","3","54.7","5","","Pottery"
"3402","302","306","3","55.1","4","","Chiptool"
"3402","302","306","3","55.1","4","","Chiptool"
"3402","302","306","3","55.1","4",,"Chiptool"
"3402","302","303","6","54.9","","","Chiptool"
"3402","VOID","reused","after","4728",,,
"3416","302","306","8","55.6","27","","left hand distal phalanx"
"3416","302","306","8","55.6","27","","Left hand distal 1st phalanx"
"3416","302","306","8","55.6","27",,"left distal 1st plalaix human head"
"3416","302","303","8","55.10","","","Chiptool"
"3416","VOID","reused","after","4728","",,
"3430","303","302","13","55.3","47","","1st right molar maxillary"
"3430","303","302","13","55.3","47","","1st right premolar maxillary"
"3430","303","302","13","55.3","47",,"Ist right prendir instrillogy"
"3430","302","303","12","55.50","53","","Chiptool"
"3430","VOID","reused","after","4728",,,""
"3442","303","304","11","55.4","31","","hand-right 5th metacarpal"
"3442","303","304","11","55.4","31","","hand-right 5th metacarpal"
"3442","303","304","11","55.4","31",,"head right sm metaeurpn"
"3442","303.36","306.47","7","55.12","23",,"2nd primal phaleax-hent vght"
"3442","302","304","8","55.0","17","","Chiptool"
"3442","VOID","reused","after","4728",,,""
"3457","303.36","306.47","7","55.12","23","","2 or 3 proximal phalanx hand-right"
"3457","303.36","306.47","7","55.12","23","","1 2 or 3 proximal phalanx - hand"
"3457","302","304","14","55.6","32","","Chiptool"
"3457","VOID","","","","","","reused after 4728"
"3463","303","306","10","55.5","48","","right mandible frag."
"3463","303","306","10","55.5","48","","right mandible frag."
"3463","303","306","10","55.5","40",,"right, meetiWe frag"
"3463","302","305","2","54.8","3","","Chiptool"
"3463","VOID","","","","","","reused after 4728 - also see 4094, 4095"
"3476","304","299","5","54.3","12","","lateral right (2nd) incisor mandibular"
"3476","304","299","5","54.3","12","","lateral right (2nd) incisive mandibular"
"3476","304","299","5","54.3","12",,"petrist right (2nd) incisor meat holir"
"3476",,,,,,,
"3476","VOID","","","","","","reused after 4728"
"3547","304.99","300.35","7","54.52","28","","left frontal frag. eye orbit"
"3547","304.99","300.35","7","54.52","28","","left frontal frag. eye orbit"
"3547","304.99","300.35","7","54.52","28",,"left, frontal frag- eye, gebit"
"3547","VOID ","","","","","","reuse after 4728"
"3547",,,,,,,"Chiptool"
"3589","304.95","302.99","7","54.78","20","","lateral right (2nd) incisor maxillary"
"3589","304.95","302.99","7","54.78","20","","lateral right (2nd) incisive maxillary"
"3589","304.95","302.99","7","54.78","20",,"infrost right (2nd) inciser mend holier"
"3589","VOID","","","","","","reused after 4728"
"3589","","","","","","","Chiptool"
"3653","304","303","7","55","29","","right foot prox. 3rd phalanx"
"3653","304","303","7","55.0","29","","right foot prox 3rd phalanx"
"3653","304","303","7","55.0","29",,"right foot, prox 3rd pheleax"
"3653","VOID","","","","","","reused after 4728"
"3653","","","","","","","Chiptool"
"3671","304","303","8","55.1","34","","right 1st incisor mandible #2"
"3671","304","303","8","55.1","34","","right 1st incisor mendible"
"3671","304","303","8","55.1","34",,"right 1st incisor mend ib lr initial 2"
"3671","VOID","","","","","","reused after 4728"
"3671","","","","","","","Chiptool"
"3707","304","303","8","55.1","35","","right rib - head & neck frag. - 2nd/3rd"
"3707","304","303","8","55.1","35","","right rib-head & neck frag - 2nd/3rd"
"3707",,,,,"35",,"right rib-head neck fry 2nd/ 3rd"
"3707","VOID","","","","","","REUSED AFTER 4723"
"3707","VOID","reused",,"after","47","28",""""
"3707","303","306","","","","","chip tool"
"3846","304","304","10","55.2","26","","left foot phalanx - 1st proximal"
"3846","304","304","10","55.2","26","","left foot phalanx - 1st proximal"
"3846","304","304","10","55.2","26",,"left foot, phaluna-bt proximal"
"3846","VOID","","","","","","reused after 4728"
"3846","304","304","7","54.9","","","chiptool"
"3854","304.37","305.88","5","55.02","10","","right femur - also see 4741"
"3854","304.37","305.88","5","55.02","10","","right femur - also see 4741"
"3854","304.37","305.88","5","55.02","10",,"right femur-aliosre 4741"
"3854","VOID","","","","","","reused after 4728"
"3854","VOID","reused","after","4728",,,""
"3930","305.2","303.99","5","54.68","26","","left 4th metatarsal"
"3930","305.20","303.99","5","54.68","26","","left 4th metatarsal"
"3930","305.20","303.99","5","54.68","26",,"left 4th matitursil"
"3930","VOID","","","","","","reused after 4728"
"3930","305","300","5","54.3",,,"chiptool"
"3969","305.1","303.3","6","54.98","32","","left mandible frag. - fits 3973"
"3969","305.10","303.30","6","54.98","32","","left mandible frag - fits 3973"
"3969","305.10","303.30","6","54.98","32",,"left mand. Wrfry fits 3973"
"3969","VOID","","","","","","reused after 4728"
"3969","VOID","reused","after","4728",,,""
"3969","305","302","6","54.6","","","chiptool"
"3973","305.25","303.31","6","54.97","36","","left mandible frag. - fits 3969"
"3973","305.25","303.31","6","54.97","36","","left mandible frag - fits 3969"
"3973","305.25","303.31","6","54.99","36",,"lift no. dible fig -fitr 3969"
"3973","VOID","","","","","","reused after 4728"
"3973","VOID","reused","after","4728",,,""
"3973","305","302","7","54.7","","","chiptool"
"4008","305.25","303.31","6","54.97","37","","2nd/3rd metacarpal frag.- unsited"
"4008","305.25","303.31","6","54.97","37","","2nd/3rd metacarpal frag - unsided"
"4008",,"","6","54.97","37",,"2nd/3rd not arupt frag smsitca"
"4008","VOID","","","","","","resued after 4728"
"4008","305","305","4","54.8","","","Chiptool"
"4076","305.25","303.31","6","54.97","38","","human ?- frags."
"4076","305.25","303.31","6","54.97","38","","human? - frags"
"4076",,,,,"38",,"human? -frags"
"4076","VOID","","","","","","reused after 4728"
"4076","","","","","","",""
"4077","305.15","303.37","6","54.99","39","","ulna - righ"
"4077","305.15","303.37","6","54.99","39","","ulna - right"
"4077","305.15","303.37","6","54.99","39",,"ulna-right"
"4077","VOID","","","","","","reused after 4728"
"4077","","","","","","",""
"4078","305","303","6","55.2","40","","right 4th prox. phalanx foot"
"4078","305","303","6","55.2","40","","right 4th prox phalanx foot"
"4078","305","303","6","55.2","40",,"right 4m prox philne Sed"
"4078","VOID","","","","","","reused after 4728"
"4078","","","","","","",""
"4081","305","303","6","55.2","41","","left prox. 3rd phalanx foot"
"4081","305","303","6","55.2","41","","left prox 3rd phalanx foot"
"4081","305","303",,,"41",,"left prox 3,2 fit"
"4081","VOID","","","","","","reused after 4728"
"4081","","","","","","",""
"4726","305","303","1","54.4","1","","Pottery"
"4726","305","303","1","54.4","1","","Pottery"
"4726","305","303","1","54.4","1",,"Pottery"
"4727","305","303","1","54.4","5","","Pottery"
"4727","305","303","1","54.4","5","","Pottery"
"4727",,,,,"5",,
"4728","305","304","1","54.5","9","","Pottery"
"4728","305","304","1","54.5","9","","Pottery"
"4728","305","304","1","54.5","9",,
"2808","","","","","","","left foot, 5th middle phalanx"
"2808","302","305","6","55.2","15.00","","Debitage specimen that tested positive for B.R."
"2808",,,,,,,"left foot, 5th middle phalanx"
"2808","302","305","6","55.2","15","","debitage that tested positive for B.R."
"2808","","","","","","",""
"2808","Not","human","13","55.1","67","","VOID"
"2808","298","300","9","55.00","30",,"Faunal Remains"
"3039","","","","","","","right radius"
"3039",,,,,,,"right radius"
"3039","300","301","8.1","54.7","28",,"Faunal Remains - right radius human bone/Fea 9"
"3039","300","301","8.1","54.7","28",,"Faunal remains"
"3048","","","","","","","left foot, 4th middle phalanx"
"3048","303","301","11","55.6","11.00","","Debitage specimen that tested positive for B.R."
"3048",,,,,,,"left foot, 4th middle phalanx"
"3048","303","301","11","55.6","11","","debitage that tested positive for B.R."
"3048","300","301","12","55.1","50",,"Faunal Remains"
"3091","","","","","","","left 3rd metatarsel"
"3091",,,,,,,"left 3rg metatarsal"
"3091","300.98","303.80","14","55.55","58","","Faunal Remains Fea 11 left 3rd metatarsal human bone"
"3091","300.98","303.80","14","55.55","58",,"Human bone"
"3286","","","","","","","right foot - 3rd/2nd middle phalanx"
"3286","304","303","6","54.9","18.00","","Debitage specimen that tested positive for B.R."
"3286",,,,,,,"right foot - 3rd/2nd middle phalanx"
"3286","304","303","6","54.9","18","","debitage that tested positive for B.R."
"3286","","","","","","",""
"3286","VOID","300","9","54.8","","22","not human bone"
"3287","","","","","","","tooth enamel - premolar?"
"3287",,,,,,,"tooth […] - premolar?"
"3287","301","301","4","54.4","","4","Tooth enamel"
"3287","301","301","4","54.4","","4","tooth enamel"
"3287","301","301","4","54.4","","4","tooth enamel"
"3288","","","","","","","right mandibular 3rd molar - individual #2"
"3288",,,,,,,"right mendible 3rd molar - Individual #2"
"3288","301","305","7","55.2","30","","Human bone 3rd right under mandibular"
"3288","",,,,,,
"3288","301","305","7","55.2","30","","3rd eight molar-mandibular human bone"
"3288","301","305","7","55.2","30","","3rd right molar-mandibular human bone"
"3304","","","","","","","left hand middle 5th (?) phalanx"
"3304","305","303","5","54.64","5.00","","Debitage specimen that tested positive for B.R."
"3304",,,,,,,"left hand - middle 5th (?) phalanx"
"3304","305","303","5","54.64","5","","debitage that tested positive for B.R."
"3304","",,,,,,
"3305","","","","","","","acromian process - right scapula"
"3305",,,,,,,"acromian process - right scapula"
"3305","301","302","4","54.6","11","","Humerus - scapula frag. Right"
"3305","301","302","4","54.6","11",,"human bone - scapula frag right"
"3305","301","302","4","54.6","11","","human scapula frag. Right"
"4086","305.00","303.00","6","55.2","42.00","","ulna - right"
"4086","305","303","6","55.2","42","","ulna - right"
"4086","305","303","6","55.2","42",,"vlna - right"
"4086","VOID","","","","","","reused after 4728"
"4086","","","","","","",""
"4087","305.00","303.00","6","55.2","43.00","","right ulna - fits 4088"
"4087","305","303","6","55.2","43","","right ulna - fits 4058"
"4087","VOID","","","","","","reused after 4728"
"4087","","","","","","",""
"4088","305.00","303.00","6","55.2","44.00","","right ulna - fits 4087"
"4088","305","303","6","55.2","44","","right ulna - fits 4087"
"4088","VOID","","","","","","reused after 4728"
"4088","","","","","","",""
"4123","305.00","303.00","7","55.24","35.00","","2nd left maxillary premolar"
"4123","305","303","7","55.24","35","","2nd left maxillary premolar"
"4123","VOID","","","","","","reused after 4728"
"4123","VOID","reused","after","4228",,,""
"4123","304","303","6","54.9","18","","Chiptool"
"4142","305.00","303.00","7","55.24","45.00","","left proxial 5th phalanx - foot"
"4142","305","303","7","55.24","45","","left proxial 5th phalanx - foot"
"4142","VOID","","","","","","reused after 4728"
"4142","VOID","reused","after","4728",,,""
"4146","305.78","304.16","7","54.95","30.00","","navicular - right"
"4146","305.78","304.16","7","54.95","30","","navicular - right"
"4146","VOID","","","","","","reused after 4728"
"4146","VOID","reused","after","4728",,,""
"4729","305.78","304.18","7","54.96","31.00","","right talus"
"4729","305.78","304.18","7","54.96","31","","right talus"
"4730","305.50","304.36","7","54.85","33.00","","humerus - unsided"
"4730","305.50","304.36","7","54.85","33","","humerus - unsided"
"4731","305.71","304.41","7","54.97","34.00","","left patella"
"4731","305.71","304.41","7","54.97","34","","left patella"
"4732","305.11","304.08","7","54.84","38.00","","left tibia - see 4739"
"4732","305.11","304.08","7","54.84","38","","left tibia - see 4739"
"4733","305.55","304.86","7","54.97","39.00","","right mandible frag."
"4733","305.55","304.86","7","54.97","39","","right mendible frag"
"4734","305.07","304.51","7","54.93","40.00","","left tibula - see also 4742"
"4734","305.07","304.51","7","54.93","40","","left fibula - see also 4742"
"4735","305.24","304.38","7","55.02","41.00","","humerus - unsided"
"4735","305.24","304.38","7","55.02","41","","humerus - unsided"
"4736","305.59","304.49","7","55.03","42.00","","right patella"
"4736","305.59","304.49","7","55.03","42","","right patella"
"4737","305.06","305.12","7","55.03","44.00","","left rib 4 or 5"
"4737","305.06","305.12","7","55.03","44","","left rib 4 or 5"
"4738","305.00","304.00","7","55.03","45.00","","right hand - 1st digital phalanx"
"4738","305","304","7","55.03","45","","right hand - 1st distal  phalanx"
"4739","305.64","304.27","7","54.91","32.00","","left tibia see 4732"
"4739","305.64","304.27","7","54.91","32","","left tibia - see 4732 distal & […]"
"4740","305.58","304.39","7","54.95","35.00","","left femur"
"4740","305.58","304.39","7","54.95","35","","left femur distal to N"
"4741","305.53","304.37","7","55.02","36.00","","right femur - distal to East also see 3854"
"4741","305.53","304.37","7","55.02","36","","right femur - also see 3854 distal to east"
"4742","305.89","304.16","7","54.91","37.00","","left fibula - see  also prox. 4734"
"4742","305.89","304.16","7","54.91","37","","left fibula - see also 4734 prox to east"
"4743","305.68","304.34","7","54.99","43.00","","right tibia & fibula"
"4743","305.68","304.34","7","54.99","43","","right tibia & fibula prox to east"
"4744","302.10","302.50","9.1","55.15","","21.00","flot remains - Fex 9 D west upper"
"4744","302.10","302.50","9.1","55.15","","21","flot remains - Fex 9D west upper"
"4745","302.90","300.30","9.1","55.08","","23.00","flot remains - Fex 9 D west lower"
"4745","302.90","300.30","9.1","55.08","","23","flot remains - Fex 9D west lower"
"4746","303.00","304.00","9.2","55.32","","13.00","flot remains - Fex 9 D east"
"4746","303.","304","9.2","55.32","","13","flot remains - Fex 9D East"
"4747","304.20","303.65","6.0","53.85","","7.00","flot remains - Fex 9 D east"
"4747","304.20","303.65","6","53.85","","7","flot remains - Fex 9D East"
"4748","305.00","306.00","4.3","55.00","","16.00","flot remains - Fex 11B"
"4748","305","306","4.3","65.00","","16","flot remains - Fex 11B"
"4749","302.00","302.00","9.1","55.27","","19.00",""
"4749","302","302","9.1","55.27","","19","charcoal speciation / dental pieces - ple 9D w"
"4750","302.00","303.00","10.0","55.3","","16.00",""
"4750","302","303","10","55.3","","16","charcoal speciation / dental pieces - below Fex 9D"
"4751","302","303","11","55.4","","21","charcoal speciation/potential - best 14C sample"
"4751","302","303","11","55.4","","21","charcoal speciation / potential 14C sample - best"
"4751","302","303","11","554",,"21","Charcoal speciction/potential BEST 14C sample"
"4752","303","300","8","54.9","","9","charcoal speciation/potential - best 14C sample"
"4752","303","300","8","54.9","","9","charcoal speciation / potential 14C sample"
"4752","303","300","8","54.9",,"9",
"4753","304.20","302.22","9","54.95","","11","charcoal speciation/potential - best 14C sample"
"4753","304.20","302.22","9","54.95","","11","charcoal speciation / potential 14C sample"
"4753","304.20","302.22","9","54.95",,"11",
"4754","305","306","5","5492","","14","charcoal speciation/potential - best 14C sample"
"4754","305","306","5.1","54.92","","14","charcoal speciation / potential 14C sample"
"4754","305","306","5.1","54.92",,"14",
"4755","302","302","4","54.6","","4","seed speciation"
"4755","302","302","4","54.6","","4","seed speciation"
"4755","302","302","4","54.6",,"4","seed speciction"
"4756","302","303","4","54.7","","5","seed speciation"
"4756","302","303","4","54.7","","5","seed speciation"
"4756","302","303","4","54.7",,"5",
"4757","","","6","54.9","","7","seed speciation"
"4757","","","6","54.9","","7","seed speciation"
"4757",,,"6","54.9","","7",
"4758","","","10","55.3","","15","seed speciation"
"4758","","","10","55.3","","15","seed speciation"
"4758",,,"10","55.3",,"15",
"4759","","","11","55.4","","19","seed speciation"
"4759","","","11","55.4","","19","seed speciation"
"4759",,,"11","55.4",,"19",
"4760","302","304","8","55.0","","7","seed speciation"
"4760","302","304","8","55.0","","7","seed speciation"
"4760","302","304","8","55.0",,"7",
"4761","","","11","55.3","","11","seed speciation"
"4761","","","11","55.3","","11","seed speciation"
"4761",,,"11","55.3",,"11",
"4762","","","13","55.5","","16","seed speciation"
"4762","","","13","55.5","","16","seed speciation"
"4762",,,"13","55.5",,"16",
"4763","302","305","3","54.9","","2","seed speciation"
"4763","302","305","3","54.9","","2","seed speciation"
"4763","302","305","3","54.9",,"2",
"4764","","","8","55.4","","8","seed speciation"
"4764","","","8","55.4","","8","seed speciation"
"4764",,,"8","55.4",,"8",
"4765","302","306","5","55.3","","4","seed speciation"
"4765","302","306","5","55.3","","4","seed speciation"
"4765","302","306","5","55.3",,"4",
"4766","","","6","55.4","","5","seed speciation"
"4766","","","6","55.4","","5","seed speciation"
"4766",,,"6","55.4",,"5",
"4767","","","7","55.5","","9","seed speciation"
"4767","","","7","55.5","","9","seed speciation"
"4767",,,"7","55.5",,"9",
"4768","303","299","8","54.94","","9","seed speciation"
"4768","303","299","8","54.94","","9","seed speciation"
"4768","303","299","8","54.94",,"9",
"4769","303","300","5","54.6","","4","seed speciation"
"4769","303","300","5","54.6","","4","seed speciation"
"4769","303","300","5","54.6",,"4",
"4770","","","6","54.7","","5","seed speciation"
"4770","","","6","54.7","","5","seed speciation"
"4770",,,"6","54.7",,"5",
"4771","303","301","6","55.0","","7","seed speciation"
"4771","303","301","6","55.0","","7","seed speciation"
"4771","303","301","6","55.0",,"7",
"4772","303","302","9","54.9","","9","seed speciation"
"4772","303","302","9","54.9","","9","seed speciation"
"4772","303","302","9","54.9",,"9",
"4773","","","11","55.1","","11","seed speciation"
"4773","","","11","55.1","","11","seed speciation"
"4773",,,"11","55.1",,"11",
"4774","","","14","55.4","","13","seed speciation"
"4774","","","14","55.4","","13","seed speciation"
"4774",,,"14","55.4",,"13",
"4775","303","3030","4","54.8","","4","seed speciation"
"4775","303","303","4","54.8","","4","seed speciation"
"4775","303","303","4","54.8",,"4",
"4776","303","303","8","55.44","","9","Seed speciation"
"4776","303","303","8","55.44","","9","seed speciation"
"4776","303","303","8","55.44",,"9","seed speciation"
"4777","","","9","55.2","","10","Seed speciation"
"4777","","","9","55.2","","10","seed speciation"
"4777","303","303","9","55.2",,"10",
"4778","303","305","3","55.0","","2","Seed speciation"
"4778","303","305","3","55.0","","2","seed speciation"
"4778","303","305","3","55.0",,"2",
"4779","","","5","55.2","","6","Seed speciation"
"4779","","","5","55.2","","6","seed speciation"
"4779","303","305","5","55.2",,"6",
"4780","","","7","55.4","","8","Seed speciation"
"4780","","","7","55.4","","8","seed speciation"
"4780","303","305","7","55.4",,"8",
"4781","303","306","5","55.0","","5","Seed speciation"
"4781","303","306","5","55.0","","5","seed speciation"
"4781","303","306","5","55.0",,"5",
"4782","304","299","7","54.6","","7","Seed speciation"
"4782","304","299","7","54.6","","7","seed speciation"
"4782","304","299","7","54.6",,"7",
"4783","","","9","54.83","","11","Seed speciation"
"4783","","","9","54.83","","11","seed speciation"
"4783","304","299","9","54.83",,"11",
"4784","304","302","6","54.7","","5","Seed speciation"
"4784","304","302","6","54.7","","5","seed speciation"
"4784","304","302","6","54.7",,"5",
"4785","","","7","54.8","","8","Seed speciation"
"4785","","","7","54.8","","8","seed speciation"
"4785","304","302","7","54.8",,"8",
"4786","","","8","54.9","","9","Seed speciation"
"4786","","","8","54.9","","9","seed speciation"
"4786","304","302","8","54.9",,"9",
"4787","","","9","55.0","","10","Seed speciation"
"4787","","","9","55.0","","10","seed speciation"
"4787","304","302","9","55.0",,"10",
"4788","304","303","4","54.7","","4","Seed speciation"
"4788","304","303","4","54.7","","4","seed speciation"
"4788","304","303","4","54.7",,"4",
"4789","","","7","55.0","","13","Seed speciation"
"4789","","","7","55.0","","13","seed speciation"
"4789","304","303","7","55.0",,"13",
"4790","304","305","7","55.2","","7","Seed speciation"
"4790","304","305","7","55.2","","7","seed speciation"
"4790","304","305","7","55.2",,"7",
"4791","","","8","55.3","","8","Seed speciation"
"4791","","","8","55.3","","8","seed speciation"
"4791","304","305","8","55.3",,"8",
"4792","304","306","5","55.1","","4","Seed speciation"
"4792","304","306","5","55.1","","4","seed speciation"
"4792","304","306","5","55.1",,"4",
"4793","","","9","55.5","","9","Seed speciation"
"4793","","","9","55.5","","9","seed speciation"
"4793","304","306","9","55.5",,"9",
"4794","305","299","6","54.3","","5","Seed speciation"
"4794","305","299","6","54.3","","5","seed speciation"
"4794","305","299","6","54.3",,"5",
"4795","305","301","5","54.5","","5","Seed speciation"
"4795","305","301","5","54.5","","5","seed speciation"
"4795","305","301","5","54.5",,"5",
"4796","","","7","54.7","","8","Seed speciation"
"4796","","","7","54.7","","8","seed speciation"
"4796","305","301","7","54.7",,"8",
"4797","305","302","5","54.5","","3","Seed speciation"
"4797","305","302","5","54.5","","3","seed speciation"
"4797","305","302","5","54.5",,"3",
"4798","305","303","3","54.5","","4","Seed speciation"
"4798","305","303","3","54.5","","4","seed speciation"
"4798","305","303","3","54.5",,"4",
"4799","","","5","54.7","","6","Seed speciation"
"4799","","","5","54.7","","6","seed speciation"
"4799","305","303","5","54.7",,"6",
"4800","305","304","4","54.6","","3","Seed speciation"
"4800","305","304","4","54.6","","3","seed speciation"
"4800","305","304","4","54.6",,"3",
"4801","305","304","7","54.9","","6","seed speciation"
"4801","305","304","7","54.9","","6","seed speciation"
"4801","305","304","7","54.9",,"6","seed specimen"
"4802","305","305","5","54.9","","6","seed speciation"
"4802","305","305","5.2","54.9","","6","seed speciation"
"4802","305","305","5.2","54.9",,"6","seed specimen"
"4803","","","7","55.1","","8","seed speciation"
"4803","","","7","55.1","","8","seed speciation"
"4803",,,"7","55.1",,"8","seed specimen"
"4804","305","306","5","55.0","","6","seed speciation"
"4804","305","306","5","55.0","","6","seed speciation"
"4804","305","306","5","55.0",,"6","seed specimen"
"4805","","","7","55.2","","10","seed speciation"
"4805","","","7","55.2","","10","seed speciation"
"4805",,,"7","55.2",,"10","seed specimen"
"4806","305","305","3","54.7","7.00","","Debitage that tested positive for B.R."
"4806","305","305","3","54.7","7","","debitage that tested positive for B.R."
"4806","305","305","3","54.7","7",,"Debibgs that tested positive for B.R."
"4807","298","299","3","54.4","","3","macrobotanical - from 5-1 hrws"
